event_id,stock_id,stock_name,signal_date,entry_percentile,entry_trigger,confirmed,extended,status,end_signal_date,end_reason
P5H-1815-2026-04-21,1815,富喬,2026-04-21,92.77566539923954,FIRST_TOP10_ENTRY,True,False,ENDED,2026-05-20,DAY20_END_WEAKENED
P5H-3081-2026-04-21,3081,聯亞,2026-04-21,92.39543726235742,FIRST_TOP10_ENTRY,True,True,ENDED,2026-06-17,DAY40_END
P5H-3105-2026-04-21,3105,穩懋,2026-04-21,95.81749049429658,FIRST_TOP10_ENTRY,True,True,ENDED,2026-06-17,DAY40_END
P5H-3211-2026-04-21,3211,順達,2026-04-21,95.05703422053232,FIRST_TOP10_ENTRY,True,True,ENDED,2026-06-17,DAY40_END
P5H-3217-2026-04-21,3217,優群,2026-04-21,94.67680608365019,FIRST_TOP10_ENTRY,True,False,ENDED,2026-05-20,DAY20_END_WEAKENED
P5H-3227-2026-04-21,3227,原相,2026-04-21,98.09885931558935,FIRST_TOP10_ENTRY,True,True,ENDED,2026-06-17,DAY40_END
P5H-3264-2026-04-21,3264,欣銓,2026-04-21,96.95817490494296,FIRST_TOP10_ENTRY,True,True,ENDED,2026-06-17,DAY40_END
P5H-3491-2026-04-21,3491,昇達科,2026-04-21,91.25475285171103,FIRST_TOP10_ENTRY,True,True,ENDED,2026-06-17,DAY40_END
P5H-4123-2026-04-21,4123,晟德,2026-04-21,93.5361216730038,FIRST_TOP10_ENTRY,True,True,ENDED,2026-06-17,DAY40_END
P5H-4749-2026-04-21,4749,新應材,2026-04-21,90.11406844106465,FIRST_TOP10_ENTRY,True,True,ENDED,2026-06-17,DAY40_END
P5H-4966-2026-04-21,4966,譜瑞-KY,2026-04-21,99.61977186311786,FIRST_TOP10_ENTRY,True,True,ENDED,2026-06-17,DAY40_END
P5H-4979-2026-04-21,4979,華星光,2026-04-21,92.01520912547528,FIRST_TOP10_ENTRY,True,True,ENDED,2026-06-17,DAY40_END
P5H-5289-2026-04-21,5289,宜鼎,2026-04-21,97.33840304182509,FIRST_TOP10_ENTRY,True,True,ENDED,2026-06-17,DAY40_END
P5H-5347-2026-04-21,5347,世界,2026-04-21,99.23954372623575,FIRST_TOP10_ENTRY,True,False,ENDED,2026-05-20,DAY20_END_WEAKENED
P5H-5439-2026-04-21,5439,高技,2026-04-21,90.49429657794677,FIRST_TOP10_ENTRY,True,True,ENDED,2026-06-17,DAY40_END
P5H-6121-2026-04-21,6121,新普,2026-04-21,96.1977186311787,FIRST_TOP10_ENTRY,True,True,ENDED,2026-06-17,DAY40_END
P5H-6147-2026-04-21,6147,頎邦,2026-04-21,96.57794676806084,FIRST_TOP10_ENTRY,True,True,ENDED,2026-06-17,DAY40_END
P5H-6188-2026-04-21,6188,廣明,2026-04-21,100.0,FIRST_TOP10_ENTRY,True,True,ENDED,2026-06-17,DAY40_END
P5H-6223-2026-04-21,6223,旺矽,2026-04-21,98.47908745247148,FIRST_TOP10_ENTRY,True,True,ENDED,2026-06-17,DAY40_END
P5H-6279-2026-04-21,6279,胡連,2026-04-21,91.63498098859316,FIRST_TOP10_ENTRY,True,False,ENDED,2026-05-20,DAY20_END_WEAKENED
P5H-6510-2026-04-21,6510,精測,2026-04-21,97.71863117870723,FIRST_TOP10_ENTRY,True,True,ENDED,2026-06-17,DAY40_END
P5H-6739-2026-04-21,6739,竹陞科技,2026-04-21,95.43726235741445,FIRST_TOP10_ENTRY,True,True,ENDED,2026-06-17,DAY40_END
P5H-7717-2026-04-21,7717,萊德光電-KY,2026-04-21,93.15589353612167,FIRST_TOP10_ENTRY,True,False,ENDED,2026-05-20,DAY20_END_WEAKENED
P5H-8069-2026-04-21,8069,元太,2026-04-21,94.29657794676805,FIRST_TOP10_ENTRY,True,False,ENDED,2026-05-20,DAY20_END_WEAKENED
P5H-8299-2026-04-21,8299,群聯,2026-04-21,98.85931558935361,FIRST_TOP10_ENTRY,True,True,ENDED,2026-06-17,DAY40_END
P5H-8358-2026-04-21,8358,金居,2026-04-21,93.91634980988593,FIRST_TOP10_ENTRY,True,True,ENDED,2026-06-17,DAY40_END
P5H-8436-2026-04-21,8436,大江,2026-04-21,90.8745247148289,FIRST_TOP10_ENTRY,True,True,ENDED,2026-06-17,DAY40_END
P5H-3293-2026-04-22,3293,鈊象,2026-04-22,92.0754716981132,FIRST_TOP10_ENTRY,True,True,ENDED,2026-06-18,DAY40_END
P5H-3374-2026-04-22,3374,精材,2026-04-22,95.09433962264151,FIRST_TOP10_ENTRY,True,True,ENDED,2026-06-18,DAY40_END
P5H-3529-2026-04-22,3529,力旺,2026-04-22,91.69811320754717,FIRST_TOP10_ENTRY,True,True,ENDED,2026-06-18,DAY40_END
P5H-5274-2026-04-22,5274,信驊,2026-04-22,97.73584905660377,FIRST_TOP10_ENTRY,True,True,ENDED,2026-06-18,DAY40_END
P5H-6274-2026-04-22,6274,台燿,2026-04-22,91.32075471698113,FIRST_TOP10_ENTRY,True,True,ENDED,2026-06-18,DAY40_END
P5H-6290-2026-04-22,6290,良維,2026-04-22,92.45283018867924,FIRST_TOP10_ENTRY,True,True,ENDED,2026-06-18,DAY40_END
P5H-8086-2026-04-22,8086,宏捷科,2026-04-22,90.18867924528303,FIRST_TOP10_ENTRY,True,False,ENDED,2026-05-21,DAY20_END_WEAKENED
P5H-3131-2026-04-23,3131,弘塑,2026-04-23,90.18181818181819,FIRST_TOP10_ENTRY,True,True,ENDED,2026-06-22,DAY40_END
P5H-3551-2026-04-23,3551,世禾,2026-04-23,92.36363636363636,FIRST_TOP10_ENTRY,True,False,ENDED,2026-05-22,DAY20_END_WEAKENED
P5H-4772-2026-04-23,4772,台特化,2026-04-23,90.9090909090909,FIRST_TOP10_ENTRY,True,False,ENDED,2026-05-22,DAY20_END_WEAKENED
P5H-1785-2026-04-27,1785,光洋科,2026-04-27,87.58865248226951,DIRECT_LAYOUT_CONFIRMATION,True,True,ENDED,2026-06-24,DAY40_END
P5H-3324-2026-04-27,3324,雙鴻,2026-04-27,90.0709219858156,DIRECT_LAYOUT_CONFIRMATION,True,True,ENDED,2026-06-24,DAY40_END
P5H-4991-2026-04-27,4991,環宇-KY,2026-04-27,92.5531914893617,DIRECT_LAYOUT_CONFIRMATION,True,True,ENDED,2026-06-24,DAY40_END
P5H-5483-2026-04-27,5483,中美晶,2026-04-27,94.68085106382979,DIRECT_LAYOUT_CONFIRMATION,True,True,ENDED,2026-06-24,DAY40_END
P5H-6143-2026-04-27,6143,振曜,2026-04-27,81.20567375886525,DIRECT_LAYOUT_CONFIRMATION,True,False,ENDED,2026-05-26,DAY20_END_WEAKENED
P5H-6138-2026-04-28,6138,茂達,2026-04-28,83.56643356643356,DIRECT_LAYOUT_CONFIRMATION,True,True,ENDED,2026-06-25,DAY40_END
P5H-6640-2026-04-28,6640,均華,2026-04-28,92.65734265734265,FIRST_TOP10_ENTRY,True,True,ENDED,2026-06-25,DAY40_END
P5H-4971-2026-04-29,4971,IET-KY,2026-04-29,90.59233449477352,FIRST_TOP10_ENTRY,False,True,ENDED,2026-06-26,DAY40_END
P5H-6187-2026-04-29,6187,萬潤,2026-04-29,84.66898954703834,DIRECT_LAYOUT_CONFIRMATION,True,True,ENDED,2026-06-26,DAY40_END
P5H-8936-2026-04-29,8936,國統,2026-04-29,91.98606271777004,DIRECT_LAYOUT_CONFIRMATION,True,False,ENDED,2026-05-28,DAY20_END_WEAKENED
P5H-3693-2026-04-30,3693,營邦,2026-04-30,86.94158075601375,DIRECT_LAYOUT_CONFIRMATION,True,False,ENDED,2026-05-29,DAY20_END_WEAKENED
P5H-5536-2026-04-30,5536,聖暉*,2026-04-30,93.81443298969072,DIRECT_LAYOUT_CONFIRMATION,True,True,ENDED,2026-06-29,DAY40_END
P5H-6488-2026-04-30,6488,環球晶,2026-04-30,92.78350515463917,DIRECT_LAYOUT_CONFIRMATION,True,True,ENDED,2026-06-29,DAY40_END
P5H-3260-2026-05-04,3260,威剛,2026-05-04,87.88927335640139,DIRECT_LAYOUT_CONFIRMATION,True,True,ENDED,2026-06-30,DAY40_END
P5H-3363-2026-05-04,3363,上詮,2026-05-04,82.00692041522491,DIRECT_LAYOUT_CONFIRMATION,True,True,ENDED,2026-06-30,DAY40_END
P5H-6561-2026-05-04,6561,是方,2026-05-04,90.65743944636678,FIRST_TOP10_ENTRY,True,False,ENDED,2026-06-01,DAY20_END_WEAKENED
P5H-6613-2026-05-04,6613,朋億*,2026-05-04,94.80968858131487,FIRST_TOP10_ENTRY,True,False,ENDED,2026-06-01,DAY20_END_WEAKENED
P5H-3680-2026-05-05,3680,家登,2026-05-05,82.21476510067114,DIRECT_LAYOUT_CONFIRMATION,True,True,ENDED,2026-07-01,DAY40_END
P5H-6643-2026-05-06,6643,M31,2026-05-06,90.0990099009901,FIRST_TOP10_ENTRY,True,False,ENDED,2026-06-03,DAY20_END_WEAKENED
P5H-5009-2026-05-07,5009,榮剛,2026-05-07,87.54098360655738,DIRECT_LAYOUT_CONFIRMATION,True,False,ENDED,2026-06-04,DAY20_END_WEAKENED
P5H-6173-2026-05-07,6173,信昌電,2026-05-07,84.26229508196721,DIRECT_LAYOUT_CONFIRMATION,True,True,ENDED,2026-07-03,DAY40_END
P5H-6788-2026-05-07,6788,華景電,2026-05-07,87.21311475409837,DIRECT_LAYOUT_CONFIRMATION,True,False,ENDED,2026-06-04,DAY20_END_WEAKENED
P5H-6146-2026-05-11,6146,耕興,2026-05-11,82.42811501597444,DIRECT_LAYOUT_CONFIRMATION,True,False,ENDED,2026-06-08,DAY20_END_WEAKENED
P5H-4743-2026-05-12,4743,合一,2026-05-12,93.31210191082803,FIRST_TOP10_ENTRY,True,False,ENDED,2026-06-09,DAY20_END_WEAKENED
P5H-5314-2026-05-12,5314,世紀*,2026-05-12,85.98726114649682,DIRECT_LAYOUT_CONFIRMATION,True,False,ENDED,2026-06-09,DAY20_END_WEAKENED
P5H-6182-2026-05-12,6182,合晶,2026-05-12,90.12738853503186,FIRST_TOP10_ENTRY,True,False,ENDED,2026-06-09,DAY20_END_WEAKENED
P5H-7751-2026-05-12,7751,竑騰,2026-05-12,95.22292993630573,FIRST_TOP10_ENTRY,True,True,ENDED,2026-07-08,DAY40_END
P5H-5904-2026-05-13,5904,寶雅,2026-05-13,93.33333333333333,FIRST_TOP10_ENTRY,True,False,ENDED,2026-06-10,DAY20_END_WEAKENED
P5H-6679-2026-05-14,6679,鈺太,2026-05-14,91.19496855345912,FIRST_TOP10_ENTRY,True,True,ENDED,2026-07-13,DAY40_END
P5H-3163-2026-05-15,3163,波若威,2026-05-15,91.6923076923077,FIRST_TOP10_ENTRY,True,True,ENDED,2026-07-14,DAY40_END
P5H-5351-2026-05-15,5351,鈺創,2026-05-15,91.07692307692308,FIRST_TOP10_ENTRY,True,True,ENDED,2026-07-14,DAY40_END
P5H-8155-2026-05-15,8155,博智,2026-05-15,94.76923076923077,FIRST_TOP10_ENTRY,True,False,ENDED,2026-06-12,DAY20_END_WEAKENED
P5H-6186-2026-05-18,6186,新潤,2026-05-18,89.02439024390245,DIRECT_LAYOUT_CONFIRMATION,True,False,ENDED,2026-06-15,DAY20_END_WEAKENED
P5H-5425-2026-05-19,5425,台半,2026-05-19,92.96636085626912,FIRST_TOP10_ENTRY,True,True,ENDED,2026-07-16,DAY40_END
P5H-3078-2026-05-20,3078,僑威,2026-05-20,93.03030303030303,FIRST_TOP10_ENTRY,True,True,ENDED,2026-07-17,DAY40_END
P5H-4760-2026-05-20,4760,勤凱科技,2026-05-20,80.0,DIRECT_LAYOUT_CONFIRMATION,True,True,ENDED,2026-07-17,DAY40_END
P5H-6584-2026-05-20,6584,南俊國際,2026-05-20,85.75757575757575,DIRECT_LAYOUT_CONFIRMATION,True,False,ENDED,2026-06-17,DAY20_END_WEAKENED
P5H-7402-2026-05-20,7402,邑錡,2026-05-20,93.93939393939394,FIRST_TOP10_ENTRY,True,False,ENDED,2026-06-17,DAY20_END_WEAKENED
P5H-5371-2026-05-21,5371,中光電,2026-05-21,87.6923076923077,DIRECT_LAYOUT_CONFIRMATION,True,False,ENDED,2026-06-18,DAY20_END_WEAKENED
P5H-8255-2026-05-21,8255,朋程,2026-05-21,90.46153846153845,FIRST_TOP10_ENTRY,True,True,ENDED,2026-07-20,DAY40_END
P5H-6683-2026-05-22,6683,雍智科技,2026-05-22,95.67901234567901,FIRST_TOP10_ENTRY,True,True,ENDED,2026-07-21,DAY40_END
P5H-6462-2026-05-25,6462,神盾,2026-05-25,93.53846153846153,DIRECT_LAYOUT_CONFIRMATION,True,False,ENDED,2026-06-23,DAY20_END_WEAKENED
P5H-7828-2026-05-25,7828,創新服務,2026-05-25,90.15384615384615,FIRST_TOP10_ENTRY,True,False,ENDED,2026-06-23,DAY20_END_WEAKENED
P5H-6291-2026-05-26,6291,沛亨,2026-05-26,91.6923076923077,FIRST_TOP10_ENTRY,True,False,ENDED,2026-06-24,DAY20_END_WEAKENED
P5H-3455-2026-05-28,3455,由田,2026-05-28,89.31750741839762,DIRECT_LAYOUT_CONFIRMATION,True,False,ENDED,2026-06-26,DAY20_END_WEAKENED
P5H-6913-2026-05-28,6913,鴻呈,2026-05-28,86.64688427299704,DIRECT_LAYOUT_CONFIRMATION,True,False,ENDED,2026-06-26,DAY20_END_WEAKENED
P5H-3624-2026-05-29,3624,光頡,2026-05-29,90.29411764705883,FIRST_TOP10_ENTRY,True,True,ENDED,2026-07-28,DAY40_END
P5H-5457-2026-06-01,5457,宣德,2026-06-01,81.81818181818183,DIRECT_LAYOUT_CONFIRMATION,True,False,ENDED,2026-06-30,DAY20_END_WEAKENED
