event_id,stock_id,stock_name,signal_date,notification_type,status,percentile,event_age_days,reason,trade_action
P5H-1785-2026-05-05,1785,光洋科,2026-05-05,NEW_CANDIDATE,NEW_CANDIDATE,96.64429530201343,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-1815-2026-05-05,1815,富喬,2026-05-05,NEW_CANDIDATE,NEW_CANDIDATE,94.96644295302013,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-3081-2026-05-05,3081,聯亞,2026-05-05,NEW_CANDIDATE,NEW_CANDIDATE,98.99328859060402,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-3105-2026-05-05,3105,穩懋,2026-05-05,NEW_CANDIDATE,NEW_CANDIDATE,98.65771812080537,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-3131-2026-05-05,3131,弘塑,2026-05-05,NEW_CANDIDATE,NEW_CANDIDATE,93.95973154362416,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-3211-2026-05-05,3211,順達,2026-05-05,NEW_CANDIDATE,NEW_CANDIDATE,100.0,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-3227-2026-05-05,3227,原相,2026-05-05,NEW_CANDIDATE,NEW_CANDIDATE,99.66442953020133,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-3260-2026-05-05,3260,威剛,2026-05-05,NEW_CANDIDATE,NEW_CANDIDATE,91.94630872483222,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-3264-2026-05-05,3264,欣銓,2026-05-05,NEW_CANDIDATE,NEW_CANDIDATE,91.2751677852349,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-3374-2026-05-05,3374,精材,2026-05-05,NEW_CANDIDATE,NEW_CANDIDATE,95.9731543624161,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-3491-2026-05-05,3491,昇達科,2026-05-05,NEW_CANDIDATE,NEW_CANDIDATE,97.98657718120806,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-4966-2026-05-05,4966,譜瑞-KY,2026-05-05,NEW_CANDIDATE,NEW_CANDIDATE,92.28187919463086,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-4979-2026-05-05,4979,華星光,2026-05-05,NEW_CANDIDATE,NEW_CANDIDATE,97.31543624161074,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-5289-2026-05-05,5289,宜鼎,2026-05-05,NEW_CANDIDATE,NEW_CANDIDATE,92.61744966442953,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-5347-2026-05-05,5347,世界,2026-05-05,NEW_CANDIDATE,NEW_CANDIDATE,96.30872483221476,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-5439-2026-05-05,5439,高技,2026-05-05,NEW_CANDIDATE,NEW_CANDIDATE,96.97986577181209,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-5483-2026-05-05,5483,中美晶,2026-05-05,NEW_CANDIDATE,NEW_CANDIDATE,93.6241610738255,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-6121-2026-05-05,6121,新普,2026-05-05,NEW_CANDIDATE,NEW_CANDIDATE,95.63758389261746,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-6147-2026-05-05,6147,頎邦,2026-05-05,NEW_CANDIDATE,NEW_CANDIDATE,93.28859060402685,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-6223-2026-05-05,6223,旺矽,2026-05-05,NEW_CANDIDATE,NEW_CANDIDATE,95.30201342281879,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-6274-2026-05-05,6274,台燿,2026-05-05,NEW_CANDIDATE,NEW_CANDIDATE,91.61073825503355,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-6290-2026-05-05,6290,良維,2026-05-05,NEW_CANDIDATE,NEW_CANDIDATE,94.29530201342283,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-6488-2026-05-05,6488,環球晶,2026-05-05,NEW_CANDIDATE,NEW_CANDIDATE,92.9530201342282,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-6510-2026-05-05,6510,精測,2026-05-05,NEW_CANDIDATE,NEW_CANDIDATE,98.3221476510067,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-6561-2026-05-05,6561,是方,2026-05-05,NEW_CANDIDATE,NEW_CANDIDATE,90.93959731543623,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-6613-2026-05-05,6613,朋億*,2026-05-05,NEW_CANDIDATE,NEW_CANDIDATE,94.63087248322147,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-8069-2026-05-05,8069,元太,2026-05-05,NEW_CANDIDATE,NEW_CANDIDATE,90.26845637583892,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-8299-2026-05-05,8299,群聯,2026-05-05,NEW_CANDIDATE,NEW_CANDIDATE,99.32885906040269,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-8358-2026-05-05,8358,金居,2026-05-05,NEW_CANDIDATE,NEW_CANDIDATE,97.6510067114094,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-8436-2026-05-05,8436,大江,2026-05-05,NEW_CANDIDATE,NEW_CANDIDATE,90.60402684563759,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-3217-2026-05-06,3217,優群,2026-05-06,NEW_CANDIDATE,NEW_CANDIDATE,91.41914191419141,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-3293-2026-05-06,3293,鈊象,2026-05-06,NEW_CANDIDATE,NEW_CANDIDATE,92.4092409240924,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-4749-2026-05-06,4749,新應材,2026-05-06,NEW_CANDIDATE,NEW_CANDIDATE,99.00990099009901,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-6138-2026-05-06,6138,茂達,2026-05-06,NEW_CANDIDATE,NEW_CANDIDATE,90.42904290429043,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-6187-2026-05-06,6187,萬潤,2026-05-06,NEW_CANDIDATE,NEW_CANDIDATE,90.75907590759076,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-6643-2026-05-06,6643,M31,2026-05-06,NEW_CANDIDATE,NEW_CANDIDATE,90.0990099009901,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-5274-2026-05-07,5274,信驊,2026-05-07,NEW_CANDIDATE,NEW_CANDIDATE,91.47540983606557,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-5536-2026-05-07,5536,聖暉*,2026-05-07,NEW_CANDIDATE,NEW_CANDIDATE,90.81967213114754,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-7717-2026-05-07,7717,萊德光電-KY,2026-05-07,NEW_CANDIDATE,NEW_CANDIDATE,93.44262295081968,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-3324-2026-05-08,3324,雙鴻,2026-05-08,NEW_CANDIDATE,NEW_CANDIDATE,91.34615384615384,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-6188-2026-05-08,6188,廣明,2026-05-08,NEW_CANDIDATE,NEW_CANDIDATE,90.38461538461539,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-6640-2026-05-08,6640,均華,2026-05-08,NEW_CANDIDATE,NEW_CANDIDATE,90.06410256410257,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-6788-2026-05-08,6788,華景電,2026-05-08,NEW_CANDIDATE,NEW_CANDIDATE,92.62820512820514,0,法人排名首次進入同日TPEx前10%,TRACK_ONLY
P5H-1785-2026-05-05,1785,光洋科,2026-05-11,LAYOUT_CONFIRMED,LAYOUT_CONFIRMED,95.84664536741214,4,連續5個交易日法人排名維持前20%,TRACK_ONLY
P5H-1815-2026-05-05,1815,富喬,2026-05-11,LAYOUT_CONFIRMED,LAYOUT_CONFIRMED,88.81789137380191,4,連續5個交易日法人排名維持前20%,TRACK_ONLY
P5H-3081-2026-05-05,3081,聯亞,2026-05-11,LAYOUT_CONFIRMED,LAYOUT_CONFIRMED,99.68051118210862,4,連續5個交易日法人排名維持前20%,TRACK_ONLY
P5H-3105-2026-05-05,3105,穩懋,2026-05-11,LAYOUT_CONFIRMED,LAYOUT_CONFIRMED,94.88817891373802,4,連續5個交易日法人排名維持前20%,TRACK_ONLY
P5H-3131-2026-05-05,3131,弘塑,2026-05-11,LAYOUT_CONFIRMED,LAYOUT_CONFIRMED,87.8594249201278,4,連續5個交易日法人排名維持前20%,TRACK_ONLY
P5H-3211-2026-05-05,3211,順達,2026-05-11,LAYOUT_CONFIRMED,LAYOUT_CONFIRMED,98.08306709265176,4,連續5個交易日法人排名維持前20%,TRACK_ONLY
P5H-3217-2026-05-06,3217,優群,2026-05-11,LAYOUT_CONFIRMED,LAYOUT_CONFIRMED,97.12460063897763,3,連續5個交易日法人排名維持前20%,TRACK_ONLY
P5H-3227-2026-05-05,3227,原相,2026-05-11,LAYOUT_CONFIRMED,LAYOUT_CONFIRMED,96.80511182108627,4,連續5個交易日法人排名維持前20%,TRACK_ONLY
P5H-3260-2026-05-05,3260,威剛,2026-05-11,LAYOUT_CONFIRMED,LAYOUT_CONFIRMED,94.24920127795528,4,連續5個交易日法人排名維持前20%,TRACK_ONLY
P5H-3264-2026-05-05,3264,欣銓,2026-05-11,LAYOUT_CONFIRMED,LAYOUT_CONFIRMED,90.73482428115017,4,連續5個交易日法人排名維持前20%,TRACK_ONLY
P5H-3293-2026-05-06,3293,鈊象,2026-05-11,LAYOUT_CONFIRMED,LAYOUT_CONFIRMED,93.29073482428115,3,連續5個交易日法人排名維持前20%,TRACK_ONLY
P5H-3324-2026-05-08,3324,雙鴻,2026-05-11,LAYOUT_CONFIRMED,LAYOUT_CONFIRMED,93.61022364217251,1,連續5個交易日法人排名維持前20%,TRACK_ONLY
P5H-3374-2026-05-05,3374,精材,2026-05-11,LAYOUT_CONFIRMED,LAYOUT_CONFIRMED,93.9297124600639,4,連續5個交易日法人排名維持前20%,TRACK_ONLY
P5H-3491-2026-05-05,3491,昇達科,2026-05-11,LAYOUT_CONFIRMED,LAYOUT_CONFIRMED,90.41533546325878,4,連續5個交易日法人排名維持前20%,TRACK_ONLY
P5H-3529-2026-05-11,3529,力旺,2026-05-11,LAYOUT_CONFIRMED_DIRECT,LAYOUT_CONFIRMED,88.49840255591054,0,連續5日維持法人排名前20%，直接列為布局確認,TRACK_ONLY
P5H-4749-2026-05-06,4749,新應材,2026-05-11,LAYOUT_CONFIRMED,LAYOUT_CONFIRMED,94.56869009584665,3,連續5個交易日法人排名維持前20%,TRACK_ONLY
P5H-4966-2026-05-05,4966,譜瑞-KY,2026-05-11,LAYOUT_CONFIRMED,LAYOUT_CONFIRMED,87.53993610223642,4,連續5個交易日法人排名維持前20%,TRACK_ONLY
P5H-4979-2026-05-05,4979,華星光,2026-05-11,LAYOUT_CONFIRMED,LAYOUT_CONFIRMED,96.48562300319489,4,連續5個交易日法人排名維持前20%,TRACK_ONLY
P5H-5009-2026-05-11,5009,榮剛,2026-05-11,LAYOUT_CONFIRMED_DIRECT,LAYOUT_CONFIRMED,89.45686900958466,0,連續5日維持法人排名前20%，直接列為布局確認,TRACK_ONLY
P5H-5274-2026-05-07,5274,信驊,2026-05-11,LAYOUT_CONFIRMED,LAYOUT_CONFIRMED,96.1661341853035,2,連續5個交易日法人排名維持前20%,TRACK_ONLY
P5H-5289-2026-05-05,5289,宜鼎,2026-05-11,LAYOUT_CONFIRMED,LAYOUT_CONFIRMED,91.3738019169329,4,連續5個交易日法人排名維持前20%,TRACK_ONLY
P5H-5347-2026-05-05,5347,世界,2026-05-11,LAYOUT_CONFIRMED,LAYOUT_CONFIRMED,97.44408945686901,4,連續5個交易日法人排名維持前20%,TRACK_ONLY
P5H-5439-2026-05-05,5439,高技,2026-05-11,LAYOUT_CONFIRMED,LAYOUT_CONFIRMED,90.09584664536742,4,連續5個交易日法人排名維持前20%,TRACK_ONLY
P5H-5536-2026-05-07,5536,聖暉*,2026-05-11,LAYOUT_CONFIRMED,LAYOUT_CONFIRMED,92.97124600638978,2,連續5個交易日法人排名維持前20%,TRACK_ONLY
P5H-6121-2026-05-05,6121,新普,2026-05-11,LAYOUT_CONFIRMED,LAYOUT_CONFIRMED,98.40255591054313,4,連續5個交易日法人排名維持前20%,TRACK_ONLY
P5H-6146-2026-05-11,6146,耕興,2026-05-11,LAYOUT_CONFIRMED_DIRECT,LAYOUT_CONFIRMED,82.42811501597444,0,連續5日維持法人排名前20%，直接列為布局確認,TRACK_ONLY
P5H-6147-2026-05-05,6147,頎邦,2026-05-11,LAYOUT_CONFIRMED,LAYOUT_CONFIRMED,95.2076677316294,4,連續5個交易日法人排名維持前20%,TRACK_ONLY
P5H-6173-2026-05-11,6173,信昌電,2026-05-11,LAYOUT_CONFIRMED_DIRECT,LAYOUT_CONFIRMED,84.66453674121406,0,連續5日維持法人排名前20%，直接列為布局確認,TRACK_ONLY
P5H-6187-2026-05-06,6187,萬潤,2026-05-11,LAYOUT_CONFIRMED,LAYOUT_CONFIRMED,91.69329073482429,3,連續5個交易日法人排名維持前20%,TRACK_ONLY
P5H-6188-2026-05-08,6188,廣明,2026-05-11,LAYOUT_CONFIRMED,LAYOUT_CONFIRMED,92.65175718849841,1,連續5個交易日法人排名維持前20%,TRACK_ONLY
P5H-6223-2026-05-05,6223,旺矽,2026-05-11,LAYOUT_CONFIRMED,LAYOUT_CONFIRMED,100.0,4,連續5個交易日法人排名維持前20%,TRACK_ONLY
P5H-6274-2026-05-05,6274,台燿,2026-05-11,LAYOUT_CONFIRMED,LAYOUT_CONFIRMED,92.01277955271566,4,連續5個交易日法人排名維持前20%,TRACK_ONLY
P5H-6290-2026-05-05,6290,良維,2026-05-11,LAYOUT_CONFIRMED,LAYOUT_CONFIRMED,86.5814696485623,4,連續5個交易日法人排名維持前20%,TRACK_ONLY
P5H-6488-2026-05-05,6488,環球晶,2026-05-11,LAYOUT_CONFIRMED,LAYOUT_CONFIRMED,92.33226837060703,4,連續5個交易日法人排名維持前20%,TRACK_ONLY
P5H-6510-2026-05-05,6510,精測,2026-05-11,LAYOUT_CONFIRMED,LAYOUT_CONFIRMED,89.77635782747603,4,連續5個交易日法人排名維持前20%,TRACK_ONLY
