stock_id,stock_name,listing_date
1240,茂生農經,2018-08-08
1259,安心,2011-12-15
1264,德麥,2015-04-09
1268,漢來美食,2017-09-27
1294,漢田生技,2024-09-26
1295,生合,2025-05-27
1336,台翰,2007-11-02
1565,精華,2004-03-30
1569,濱川,2005-07-29
1570,力肯,2005-06-30
1580,新麥,2007-12-10
1584,精剛,2007-11-28
1586,和勤,2012-01-09
1591,駿吉-KY,2012-03-23
1593,祺驊,2012-06-13
1595,川寶,2011-10-04
1599,宏佳騰,2012-12-25
1742,台蠟,2004-05-14
1777,生泰,2005-10-19
1780,立弘,2026-06-17
1781,合世,2004-12-24
1784,訊聯,2007-07-26
1785,光洋科,2005-01-31
1788,杏昌,2009-07-20
1796,金穎生技,2018-01-22
1799,易威,2008-11-10
1813,寶利徠,2009-08-04
1815,富喬,2006-01-23
2035,唐榮公司,2006-07-07
2061,風青,2010-12-09
2063,世鎧精密,2010-09-07
2064,晉椿,2014-12-26
2065,世豐,2017-04-21
2066,世德,2013-09-24
2067,嘉鋼,2014-05-26
2070,精湛,2018-12-17
2073,雄順,2023-06-21
2221,大甲,2007-08-01
2230,泰茂,2013-04-18
2235,謚源,2014-12-15
2596,綠意,2009-06-01
2640,大車隊,2012-11-07
2641,正德,2014-10-09
2643,捷迅,2016-03-04
2718,全心投控,2011-03-29
2719,燦星旅,2012-02-24
2724,藝舍-KY,2012-05-29
2726,雅茗-KY,2014-12-24
2729,瓦城,2012-09-17
2732,六角,2015-01-20
2734,易飛網,2013-12-26
2736,富野,2016-01-06
2740,華軒,2015-12-24
2743,山富,2020-03-09
2745,五福,2018-04-16
2751,王座,2024-09-10
2752,豆府,2019-09-25
2754,亞洲藏壽司,2020-09-17
2755,揚秦,2020-12-16
2756,聯發國際,2022-01-14
2916,滿心,2005-03-10
2924,宏太-KY,2011-12-02
2926,誠品生活,2013-01-30
2937,集雅社,2017-06-08
2941,米斯特,2024-03-20
2947,振宇五金,2021-10-06
2948,寶陞,2023-12-12
2949,欣新網,2023-12-15
3064,泰偉,2004-06-09
3066,李洲,2004-12-02
3067,全域,2003-10-21
3071,協禧,2004-12-30
3073,天方能源,2007-10-08
3078,僑威,2005-01-31
3081,聯亞,2015-07-22
3083,網龍,2003-12-02
3085,新零售,2004-03-01
3086,華義*,2004-03-29
3088,艾訊,2005-04-28
3093,港建*,2005-06-17
3095,及成,2005-05-26
3105,穩懋,2011-12-13
3114,好德,2004-03-25
3115,富榮綱,2005-04-08
3118,進階,2008-05-21
3122,笙泉,2015-01-26
3128,昇銳,2006-09-04
3131,弘塑,2011-01-17
3141,晶宏,2014-03-14
3147,大綜,2018-05-29
3152,璟德,2008-03-24
3158,嘉實,2025-11-17
3162,精確,2005-10-03
3163,波若威,2012-12-03
3169,亞信,2009-11-24
3171,炎洲流通,2004-09-17
3176,基亞,2011-11-23
3178,公準,2018-11-19
3188,鑫龍騰,2004-03-17
3191,雲嘉南,2005-04-12
3205,佰研,2005-09-12
3206,志豐,2007-02-08
