event_id,stock_id,stock_name,signal_date,entry_percentile,entry_trigger,status,end_signal_date,end_reason
P6D-TWSE-1717-2026-03-11,1717,長興,2026-03-11,93.45238095238095,TOP10_CONFIRM_3D,ENDED,2026-05-11,TWSE_DAY40_END
P6D-TWSE-2308-2026-03-11,2308,台達電,2026-03-11,94.94047619047619,TOP10_CONFIRM_3D,ENDED,2026-05-11,TWSE_DAY40_END
P6D-TWSE-2324-2026-03-11,2324,仁寶,2026-03-11,90.17857142857143,TOP10_CONFIRM_3D,ENDED,2026-05-11,TWSE_DAY40_END
P6D-TWSE-2337-2026-03-11,2337,旺宏,2026-03-11,100.0,TOP10_CONFIRM_3D,ENDED,2026-05-11,TWSE_DAY40_END
P6D-TWSE-2345-2026-03-11,2345,智邦,2026-03-11,98.80952380952381,TOP10_CONFIRM_3D,ENDED,2026-05-11,TWSE_DAY40_END
P6D-TWSE-2385-2026-03-11,2385,群光,2026-03-11,94.34523809523809,TOP10_CONFIRM_3D,ENDED,2026-05-11,TWSE_DAY40_END
P6D-TWSE-2404-2026-03-11,2404,漢唐,2026-03-11,94.04761904761905,TOP10_CONFIRM_3D,ENDED,2026-05-11,TWSE_DAY40_END
P6D-TWSE-2412-2026-03-11,2412,中華電,2026-03-11,99.40476190476191,TOP10_CONFIRM_3D,ENDED,2026-05-11,TWSE_DAY40_END
P6D-TWSE-2883-2026-03-11,2883,凱基金,2026-03-11,98.21428571428571,TOP10_CONFIRM_3D,ENDED,2026-05-11,TWSE_DAY40_END
P6D-TWSE-2886-2026-03-11,2886,兆豐金,2026-03-11,97.02380952380952,TOP10_CONFIRM_3D,ENDED,2026-05-11,TWSE_DAY40_END
P6D-TWSE-2892-2026-03-11,2892,第一金,2026-03-11,97.61904761904762,TOP10_CONFIRM_3D,ENDED,2026-05-11,TWSE_DAY40_END
P6D-TWSE-3008-2026-03-11,3008,大立光,2026-03-11,97.91666666666666,TOP10_CONFIRM_3D,ENDED,2026-05-11,TWSE_DAY40_END
P6D-TWSE-3017-2026-03-11,3017,奇鋐,2026-03-11,95.23809523809523,TOP10_CONFIRM_3D,ENDED,2026-05-11,TWSE_DAY40_END
P6D-TWSE-3231-2026-03-11,3231,緯創,2026-03-11,95.83333333333334,TOP10_CONFIRM_3D,ENDED,2026-05-11,TWSE_DAY40_END
P6D-TWSE-3665-2026-03-11,3665,貿聯-KY,2026-03-11,91.96428571428571,TOP10_CONFIRM_3D,ENDED,2026-05-11,TWSE_DAY40_END
P6D-TWSE-3711-2026-03-11,3711,日月光投控,2026-03-11,95.53571428571429,TOP10_CONFIRM_3D,ENDED,2026-05-11,TWSE_DAY40_END
P6D-TWSE-4904-2026-03-11,4904,遠傳,2026-03-11,96.72619047619048,TOP10_CONFIRM_3D,ENDED,2026-05-11,TWSE_DAY40_END
P6D-TWSE-5234-2026-03-11,5234,達興材料,2026-03-11,96.13095238095238,TOP10_CONFIRM_3D,ENDED,2026-05-11,TWSE_DAY40_END
P6D-TWSE-6526-2026-03-11,6526,達發,2026-03-11,96.42857142857143,TOP10_CONFIRM_3D,ENDED,2026-05-11,TWSE_DAY40_END
P6D-TWSE-6789-2026-03-11,6789,采鈺,2026-03-11,98.51190476190477,TOP10_CONFIRM_3D,ENDED,2026-05-11,TWSE_DAY40_END
P6D-TWSE-7769-2026-03-11,7769,鴻勁,2026-03-11,97.32142857142857,TOP10_CONFIRM_3D,ENDED,2026-05-11,TWSE_DAY40_END
P6D-TWSE-1303-2026-03-12,1303,南亞,2026-03-12,97.92284866468842,TOP10_CONFIRM_3D,ENDED,2026-05-12,TWSE_DAY40_END
